symbol,bid,ask,mid,spread_bps,top_depth_usd,slip1k_bps,slip10k_bps,slip50k_bps
NXPC,0.25384,0.25395,0.253895,4.332499655369306,500.02755,2.363166901963622,16.940981715526163,
SOPH,0.004545,0.004549,0.004547,8.797009016933501,499.99999500000007,5.704886001783222,39.09399917339452,225.7443257761593
RESOLV,0.021024,0.02103,0.021027,2.853474104722053,499.992768,2.105710052752072,17.070075381302956,
SYRUP,0.18214,0.18219,0.182165,2.7447643619792217,0.72876,4.7760427150072005,11.932954061130776,
PUMP,0.00168,0.001681,0.0016805,5.950609937518095,3413.7482400000004,2.9753049687571123,5.837546108559836,12.887016460895367
PROVE,0.1957,0.19578,0.19574,4.087054255645077,500.0135,2.298950194590109,10.663175820386446,
XPL,0.086364,0.08637,0.086367,0.6947097849880164,313.587684,0.7538928410671544,5.140219254060868,
WLFI,0.056895,0.056906,0.0569005,1.9331991810260232,499.976116,1.0544757059835363,3.0343848711852357,
LINEA,0.002507,0.002509,0.002508,7.974481658691515,810.8109489999999,4.741339442697677,25.31961981441439,
SKY,0.059741,0.059758,0.0597495,2.8452120938244145,499.995186,1.9374757207771265,10.545401701650295,
ASTER,0.61929,0.61935,0.61932,0.9688044952520342,483.71235,0.8044001285860056,3.084417024070257,
AVNT,0.091313,0.091356,0.0913345,4.707969058789544,499.991388,3.2897217632854043,13.261039768090068,
STBL,0.020259,0.020264,0.0202615,2.467734373072838,87.72285600000001,3.3927757815197173,18.73237347139059,
0G,0.18174,0.18183,0.181785,4.950903539894875,383.29764,3.3214391151494973,13.193326037035998,
HEMI,0.004328,0.004331,0.0043295,6.9292066058425466,996.17331,3.4734399122885278,18.874995345744903,
APEX,0.29256,0.29313,0.292845,19.4642216872412,40.37328,11.404867791487789,,
2Z,0.065263,0.065274,0.0652685,1.6853459172490746,214.033446,3.3713293815499177,16.522199084629303,
ZEC,546.75,546.76,546.755,0.1828972757449114,196.8336,0.7647998648276818,2.6432039513269108,
MON,0.022158,0.022165,0.0221615,3.1586309590957566,844.596486,1.5793154795478783,6.8336546151942645,
MET,0.13222,0.13236,0.13229,10.58281049210078,500.05604,5.669306094814868,13.725515203018336,
MEGA,0.04387,0.043896,0.043883,5.924845612195667,710.7201359999999,3.4392293875010447,10.913285604002516,
CC,0.12797,0.12802,0.127995,3.906402593850893,449.81455,2.343790267249122,13.721635110969617,
ICP,2.1419,2.1424,2.14215,2.3341035875159206,500.03616,2.10056123968421,5.860210137014319,
AERO,0.48903,0.4895,0.489265,9.606246103849047,179.6465,5.6135189877937535,8.280720896499929,
STABLE,0.03517,0.035184,0.035177,3.9798732126105474,499.999824,2.7716478698643154,14.447444639286688,
FOGO,0.009044,0.009054,0.009049,11.05094485578472,483.537924,6.096181340810767,21.402516065166235,
LIT,2.2571,2.258,2.25755,3.986622666165192,198.704,5.064405995869407,9.984223054088094,
XMR,326.93,327.0,326.96500000000003,2.1409019313991764,412.02,3.767385925615211,8.404601449015464,
AXS,0.9365,0.93748,0.93699,10.459023041867908,195.089588,5.326438939061214,17.376474001525946,
DASH,34.121,34.137,34.129000000000005,4.6880951683314,499.87265,2.584970298729832,8.300291619880825,
SKR,0.008255,0.008271,0.008263,19.36342732663729,413.55,10.391408300819338,36.1761643760689,
AZTEC,0.013237,0.013247,0.013242,7.551729346019931,483.303548,4.356125561932679,18.825017205529463,87.75704142649828
CHIP,0.030142,0.030154,0.030148,3.980363539870503,505.441348,2.985768482187749,10.66820815750869,
GRAM,1.5224,1.5233,1.52285,5.909971435138871,507.2589,3.3069949009449147,5.361968287177076,12.309198134859198
CASHCAT,0.062114,0.062223,0.0621685,17.532995005508898,62.223,38.03470092493753,,
